2018-10-11 15:50:42.564[1539240642564] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-5]
2018-10-11 15:50:42.564[1539240642564] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.565[1539240642565] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.565[1539240642565] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:y6g6LwNsaMjenkHeVXbp25 open:2018-10-11 15:50:42.558 JST afterLimiter:0ms afterRespRecv:6ms
2018-10-11 15:50:42.565[1539240642565] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640083 side:SELL quantity:0.860834 signature:35b3af0fcc6227b3f01dd3315e24f04eb8902edc42869ef9cacd9e38bcf06273 price:0.7696 type:LIMIT timeInForce:GTC recvWindow:38 timestamp:1539240642532     [ACCT]: 2|3    [RESP]: 5/10000  proc:9.740997ms  proxy:-9999ms  session:-10ms  httpStatus:200 gzip {"symbol":"1539240640083","orderId":3,"clientOrderId":"y6g6LwNsaMjenkHeVXbp25","transactTime":1539240642558,"price":"0.7696","origQty":"0.860834","executedQty":"0.000000","cummulativeQuoteQty":"0.0000","status":"NEW","timeInForce":"GTC","type":"LIMIT","side":"SELL","fills":[]}
2018-10-11 15:50:42.565[1539240642565] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.638[1539240642638] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: 32gTWt5F6TOUQ0DCLeiauM -> [cId=WCZhHvnjqz_r1-6]
2018-10-11 15:50:42.638[1539240642638] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-6]
2018-10-11 15:50:42.638[1539240642638] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-6] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.638[1539240642638] | DEBUG | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-6] SENT
2018-10-11 15:50:42.638[1539240642638] | TRACE | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.642[1539240642642] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-6]
2018-10-11 15:50:42.643[1539240642643] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-6]
2018-10-11 15:50:42.643[1539240642643] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.643[1539240642643] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.643[1539240642643] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:32gTWt5F6TOUQ0DCLeiauM open:2018-10-11 15:50:42.638 JST afterLimiter:0ms afterRespRecv:5ms
2018-10-11 15:50:42.644[1539240642644] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.644[1539240642644] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640355 side:BUY quantity:0.350430 signature:a2706733096bf623995487bccf7c656f3a3ab273d9fc904586c30e182dc37c6c price:0.2202 type:LIMIT timeInForce:GTC recvWindow:32 timestamp:1539240642612     [ACCT]: 2|3    [RESP]: 6/10000  proc:8.754872ms  proxy:-9999ms  session:-8ms  httpStatus:200 gzip {"symbol":"1539240640355","orderId":1,"clientOrderId":"32gTWt5F6TOUQ0DCLeiauM","transactTime":1539240642638,"price":"0.2202","origQty":"0.350430","executedQty":"0.061935","cummulativeQuoteQty":"0.0090","status":"PARTIALLY_FILLED","timeInForce":"GTC","type":"LIMIT","side":"BUY","fills":[{"price":"0.1467","qty":"0.061935","commission":"0.000000","commissionAsset":"1539240637970","tradeId":0}]}
2018-10-11 15:50:42.714[1539240642714] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: jzzcf77PTveGhAjzBZhaXn -> [cId=WCZhHvnjqz_r1-7]
2018-10-11 15:50:42.715[1539240642715] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-7]
2018-10-11 15:50:42.715[1539240642715] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-7] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.715[1539240642715] | DEBUG | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-7] SENT
2018-10-11 15:50:42.715[1539240642715] | TRACE | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
